playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
7JMKPn0FJUaNLqSrEQhyDN,Indie Rock meets  Drum & Bass,31,june69jf,Jun Fukunga,631
0X8To0nB5IoZGEwJCE7vrh,"Indie rock, rock alternativo, Independiente & Rock  playlist",223,veno0m-mx,Juan Gómez,582
5cuBCukijEZGyTL83LvwlL,Indie Rock Classics,266,3e5s34kg0jitbm95qivjatmur,Gasper Majer,454
2nN5x04hBN9tw6LktPgrkX,Top Alternative 2000 - 2023 Best Alt Indie Rock Playlist,93,fernandon93,Facu Nahas,420
2Qhqma8Qesbz9pOqykwHQp,Clean indie rock,121,holly.newcombe,Holly Newcombe,335
1LrwIJu2gOqFSmbwUpIweB,Indie Rock and Alternative,115,1tx187q0a7fz28kq7i811nvzu,Stefanos,255
74LvHYoHgLDxRnCPVVB8Rl,Indie Rock Love Songs,115,laserguy2020,laserguy2020,193
4rw7sf6c5mMnscv4qrDeY3,Indie Rock Empire 2,50,rsy50u2k8m46lyc9jadgarxgl,Hamilton House,118
3DqnjN4At6zDVDfFSacWf9,Indie Rock Empire,57,rsy50u2k8m46lyc9jadgarxgl,Hamilton House,106
4cWCREEhUqNRpCsoPkzmH7,Indie Rock OPM,96,12150583874,Marco Noel Tenefrancia,87
6PgWxcZMPt7VhJGXKZz1Tz,INDIE ROCK MUSIC COMMUNITY,34,313ftxbjwjkvcko6nlvxtjm4was4,Alex Yemelyanoff,57
1VLk5kd1yuoQmeCnQhcd9I,indie rock?,168,jardonm,jardonm,49
37i9dQZF1EIh7KtwovW88F,Britpop Indie Rock Mix,50,spotify,Spotify,0
37i9dQZF1EIgYq1kWGTmcH,2010s Indie Rock Mix,50,spotify,Spotify,0
37i9dQZF1EIcqNFLKnDOcZ,Indie Rock Mix,50,spotify,Spotify,0
37i9dQZF1EIhtkPOho1Bfw,Indie Rock en Español Mix,50,spotify,Spotify,0
