track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres
6xQs6y6CpDqK9VKCktApEL,Hiling,Mark Carpio,365,2JEIN1g27pZdm3hKB9EwE5,235009,0.58,0.244,4.0,-9.917,1.0,0.0361,0.808,0.0,0.092,0.385,82.121,['opm']
4ai7c2BUjNpElhZdZDH7qF,Dahil Sa'Yo,Inigo Pascual,344,0XOSmu9Qn1agQULUVe0dAK,211200,0.764,0.894,0.0,-2.892,1.0,0.0327,0.227,0.0,0.0906,0.963,99.986,['opm']
3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,334,4DAcJXcjX0zlQAZAPAx4Zb,318814,0.491,0.314,10.0,-8.58,1.0,0.0301,0.776,4.76e-06,0.152,0.295,126.921,['opm']
1yDiru08Q6omDOGkZMPnei,Maybe The Night,Ben&Ben,365,4DAcJXcjX0zlQAZAPAx4Zb,217197,0.572,0.522,2.0,-9.095,1.0,0.0367,0.113,4.91e-05,0.114,0.498,74.05,['opm']
4u8RkgV6P4TLi89SmlUtv8,Mundo,IV Of Spades,365,4k9wp4ipHdA1bu1T4x1ZTG,349713,0.705,0.401,6.0,-8.9,1.0,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,"['opm', 'p-pop', 'pinoy trap', 'pop']"
00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,365,4qFxP3qN9GsnZDOkAE6x2m,285138,0.518,0.762,7.0,-3.907,1.0,0.0305,0.0851,0.0,0.148,0.271,155.985,"['opm', 'pinoy pop punk']"
5nMKJJ5Rl6X1yn58aVeICO,Bulong,December Avenue,363,4qFxP3qN9GsnZDOkAE6x2m,270233,0.5,0.728,9.0,-5.472,0.0,0.0313,0.0319,0.0,0.0782,0.351,134.877,"['opm', 'pinoy pop punk']"
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,365,4qFxP3qN9GsnZDOkAE6x2m,267759,0.502,0.482,4.0,-4.736,1.0,0.0288,0.161,0.0,0.187,0.132,133.894,"['opm', 'pinoy pop punk']"
1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,I Belong to the Zoo,365,7tKpXx21KVUOR6vvDs6xtg,277098,0.66,0.373,7.0,-7.874,1.0,0.029,0.701,0.0,0.226,0.348,126.887,"['opm', 'pinoy indie']"
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,December Avenue,348,4qFxP3qN9GsnZDOkAE6x2m,282094,0.45,0.648,10.0,-4.516,1.0,0.0308,0.132,2.37e-05,0.11,0.282,144.814,"['opm', 'pinoy pop punk']"
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,365,0a4r2EnsevvHCukoJ1xFwJ,343446,0.631,0.381,7.0,-11.808,1.0,0.04,0.447,0.000171,0.0902,0.36,126.008,"['opm', 'pinoy indie']"
