track_id,track_name,artist_name,streams,artist_id,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genres,predicted_genre_id,predicted_genre,predicted_genre_proba,genre_indie_proba,genre_pop_proba,genre_rock_proba,genre_soul_proba
5nMKJJ5Rl6X1yn58aVeICO,Bulong,December Avenue,363,4qFxP3qN9GsnZDOkAE6x2m,270233,0.5,0.728,9.0,-5.472,0.0,0.0313,0.0319,0.0,0.0782,0.351,134.877,"['opm', 'pinoy pop punk']",2,rock,0.4854086815658056,0.31461558765580955,0.1595792531911468,0.4854086815658056,0.04039647758723795
2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,365,4qFxP3qN9GsnZDOkAE6x2m,267759,0.502,0.482,4.0,-4.736,1.0,0.0288,0.161,0.0,0.187,0.132,133.894,"['opm', 'pinoy pop punk']",1,pop,0.5075951064279154,0.09456470938378059,0.5075951064279154,0.35460238908763597,0.04323779510066816
1X4l4i472kW5ofFP8Xo0x0,Sana - Single Version,I Belong to the Zoo,365,7tKpXx21KVUOR6vvDs6xtg,277098,0.66,0.373,7.0,-7.874,1.0,0.029,0.701,0.0,0.226,0.348,126.887,"['opm', 'pinoy indie']",2,rock,0.3278304246582496,0.10828336067701574,0.2847008483867503,0.3278304246582496,0.2791853662779846
6GIzDc4xBUeYHwubWwTrhC,Kahit Di Mo Alam,December Avenue,348,4qFxP3qN9GsnZDOkAE6x2m,282094,0.45,0.648,10.0,-4.516,1.0,0.0308,0.132,2.37e-05,0.11,0.282,144.814,"['opm', 'pinoy pop punk']",2,rock,0.43118006722864327,0.21925210864782213,0.27045991287161525,0.43118006722864327,0.07910791125191913
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,365,0a4r2EnsevvHCukoJ1xFwJ,343446,0.631,0.381,7.0,-11.808,1.0,0.04,0.447,0.000171,0.0902,0.36,126.008,"['opm', 'pinoy indie']",3,soul,0.4638340787933645,0.1867540536649618,0.04363856506386306,0.3057733024778103,0.4638340787933645
5NXdUJ3Z2jhlp2u1cj6f7m,Balang Araw - Single Version,I Belong to the Zoo,363,7tKpXx21KVUOR6vvDs6xtg,288207,0.523,0.391,7.0,-9.283,1.0,0.0298,0.395,0.0,0.142,0.354,139.905,"['opm', 'pinoy indie']",2,rock,0.48633367782638287,0.13694180748219487,0.08195790014345086,0.48633367782638287,0.2947666145479715
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,PDL,356,0iqkVK6sTXi7DZWWOeKy8Q,341573,0.657,0.746,1.0,-6.277,1.0,0.0464,0.0175,0.0,0.107,0.467,136.887,"['pinoy hip hop', 'pinoy r&b']",2,rock,0.3651610987081213,0.2578743212670013,0.3085543561553858,0.3651610987081213,0.06841022386949151
3OpGUlDmRUXh0NkIYWoIlD,Your Song,Parokya Ni Edgar,341,2XHTklRsNMOOQT56Zm3WS4,168493,0.636,0.159,11.0,-13.117,1.0,0.0549,0.892,0.0,0.112,0.658,119.766,"['opm', 'pinoy reggae', 'pinoy rock']",3,soul,0.7432768634650117,0.11519863207254837,0.042046303010760414,0.0994782014516795,0.7432768634650117
6wdCelHrPh7UfliNjwRTUv,Leaves,Ben&Ben,365,4DAcJXcjX0zlQAZAPAx4Zb,310708,0.447,0.16,6.0,-10.896,1.0,0.0372,0.913,0.0,0.0891,0.205,118.313,['opm'],3,soul,0.6103076967829368,0.249232950333128,0.11286219582053389,0.027597157063401382,0.6103076967829368
5l9g7py8RCblcvbZgGQgSd,Pagtingin,Ben&Ben,366,4DAcJXcjX0zlQAZAPAx4Zb,227370,0.669,0.42,2.0,-8.464,1.0,0.0253,0.506,0.0,0.404,0.523,95.049,['opm'],3,soul,0.3732921873092844,0.1379881252080401,0.13070628531966852,0.3580134021630071,0.3732921873092844
4rG3h1QwgjSSWz8EIjCFrm,Araw-Araw,Ben&Ben,356,4DAcJXcjX0zlQAZAPAx4Zb,313951,0.475,0.424,11.0,-8.39,1.0,0.0295,0.582,0.0,0.234,0.224,140.903,['opm'],2,rock,0.43321848985462963,0.14557347602221576,0.2400898613127548,0.43321848985462963,0.18111817281039994
